MCLU,TIME[Myr],Z,NB_P,EBIN
1012,95.5,0.02,0,1.4156887664598997e+47
1012,95.5,0.02,1,8.255645774865015e+46
1012,88.25,0.02,0,6.701175111890237e+46
1012,88.25,0.02,1,8.258041705515313e+46
1012,35.5,0.02,0,1.1688005604003844e+48
1012,35.5,0.02,1,1.3616208122290446e+47
1012,50.75,0.02,0,6.788152520677774e+47
1012,50.75,0.02,1,1.0992001786949447e+47
1012,98.75,0.02,0,1.3070724885329103e+47
1012,98.75,0.02,1,8.260432372155931e+46
1012,84.75,0.02,0,6.705571226030044e+46
1012,84.75,0.02,1,8.253558878451814e+46
1012,21.75,0.02,0,1.1689006625209191e+48
1012,21.75,0.02,1,1.381804334186204e+47
1012,65.25,0.02,0,6.817368610423652e+47
1012,65.25,0.02,1,1.079757104019105e+47
1012,34.25,0.02,0,1.1691087431312277e+48
1012,34.25,0.02,1,1.3618911564901239e+47
1012,44.0,0.02,0,1.1929014765571651e+48
1012,44.0,0.02,1,1.1036836065249682e+47
1012,63.75,0.02,0,6.817315651500845e+47
1012,63.75,0.02,1,1.0798036477010542e+47
1012,75.75,0.02,0,4.4999668079055957e+46
1012,75.75,0.02,1,1.0474239140321875e+47
1012,52.75,0.02,0,6.785483488981793e+47
1012,52.75,0.02,1,1.0995760935000183e+47
1012,9.75,0.02,0,2.0147549488626268e+49
1012,9.75,0.02,1,1.486691465543886e+47
1012,8.0,0.02,0,2.150066436936177e+49
1012,8.0,0.02,1,1.5292454380513484e+47
1012,4.5,0.02,0,2.909313434016202e+49
1012,4.5,0.02,1,1.3097373767191545e+47
1012,5.25,0.02,0,3.2158614583118347e+49
1012,5.25,0.02,1,1.3090861089342023e+47
1012,61.25,0.02,0,6.820172828970648e+47
1012,61.25,0.02,1,1.0797644086249278e+47
1012,92.75,0.02,0,6.701087703710769e+46
1012,92.75,0.02,1,8.258043173344283e+46
1012,85.5,0.02,0,6.704786283706015e+46
1012,85.5,0.02,1,8.254406856892634e+46
1012,54.0,0.02,0,6.7852732469175115e+47
1012,54.0,0.02,1,1.0996882398231218e+47
1012,44.75,0.02,0,1.1927763316944358e+48
1012,44.75,0.02,1,1.1031645910358093e+47
1012,55.25,0.02,0,6.785627381901357e+47
1012,55.25,0.02,1,1.0991811990498095e+47
1012,71.0,0.02,0,6.814411179500989e+47
1012,71.0,0.02,1,1.0481460468252116e+47
1012,1.25,0.02,0,8.5054760997263e+44
1012,1.25,0.02,1,9.922769964386831e+49
1012,83.0,0.02,0,6.699960205621859e+46
1012,83.0,0.02,1,8.25897766699277e+46
1012,57.25,0.02,0,6.802897486163492e+47
1012,57.25,0.02,1,1.0995980589006182e+47
1012,25.75,0.02,0,1.1683496487397563e+48
1012,25.75,0.02,1,1.381699418225171e+47
1012,49.25,0.02,0,1.1913402033972934e+48
1012,49.25,0.02,1,1.0989954536556158e+47
1012,36.25,0.02,0,1.1687547548595075e+48
1012,36.25,0.02,1,1.3620842864177803e+47
1012,0.0,0.02,1,1.1668528977994917e+50
1012,42.75,0.02,0,1.1929463149295663e+48
1012,42.75,0.02,1,1.1032629030202898e+47
1012,10.5,0.02,0,2.1458371955848633e+49
1012,10.5,0.02,1,1.4994953497618247e+47
1012,41.5,0.02,0,1.1933314969609403e+48
1012,41.5,0.02,1,1.1039971925179584e+47
1012,46.75,0.02,0,1.1922391692968313e+48
1012,46.75,0.02,1,1.0997706205684365e+47
1012,69.75,0.02,0,6.8125692582807865e+47
1012,69.75,0.02,1,1.0499834151646098e+47
1012,56.5,0.02,0,6.8028968784687315e+47
1012,56.5,0.02,1,1.0996026791311693e+47
1012,12.5,0.02,0,2.0129138762447855e+49
1012,12.5,0.02,1,1.4917609834611818e+47
1012,81.0,0.02,0,6.704795211750109e+46
1012,81.0,0.02,1,8.254142059087444e+46
1012,52.0,0.02,0,6.788079981272913e+47
1012,52.0,0.02,1,1.0991402150944123e+47
1012,13.75,0.02,0,2.0016510276140498e+49
1012,13.75,0.02,1,1.4091251788548267e+47
1012,39.5,0.02,0,1.1683537787205934e+48
1012,39.5,0.02,1,1.360823896169623e+47
1012,62.5,0.02,0,6.823201415884411e+47
1012,62.5,0.02,1,1.0766161952466952e+47
1012,6.5,0.02,0,2.202623653022997e+49
1012,6.5,0.02,1,1.529177959288101e+47
1012,38.25,0.02,0,1.1682918340926894e+48
1012,38.25,0.02,1,1.3614526921044319e+47
1012,19.75,0.02,0,7.318336916862758e+48
1012,19.75,0.02,1,1.4022738949244937e+47
1012,97.25,0.02,0,1.400802722253334e+47
1012,97.25,0.02,1,8.251968843382949e+46
1012,21.0,0.02,0,1.1688469556514923e+48
1012,21.0,0.02,1,1.382839468665971e+47
1012,65.75,0.02,0,6.818009334516387e+47
1012,65.75,0.02,1,1.0791217627985357e+47
1012,33.0,0.02,0,1.1693174938467816e+48
1012,33.0,0.02,1,1.3612035559120726e+47
1012,75.0,0.02,0,4.4924607888475243e+46
1012,75.0,0.02,1,1.0482071254369798e+47
1012,38.75,0.02,0,1.1682287364342494e+48
1012,38.75,0.02,1,1.3621062059068923e+47
1012,94.0,0.02,0,6.70027411208082e+46
1012,94.0,0.02,1,8.25896759428339e+46
1012,54.5,0.02,0,6.785681533076065e+47
1012,54.5,0.02,1,1.099231873299229e+47
1012,47.25,0.02,0,1.1918528539472879e+48
1012,47.25,0.02,1,1.0995111357785745e+47
1012,23.75,0.02,0,1.168559536263185e+48
1012,23.75,0.02,1,1.3819198483365332e+47
1012,27.0,0.02,0,1.1688371769712014e+48
1012,27.0,0.02,1,1.3707131552956914e+47
1012,61.75,0.02,0,6.82076950055648e+47
1012,61.75,0.02,1,1.0790892306395847e+47
1012,0.75,0.02,0,5.0553781201033785e+44
1012,0.75,0.02,1,1.0281088512995932e+50
1012,36.75,0.02,0,1.1687994721254048e+48
1012,36.75,0.02,1,1.3616427688426102e+47
1012,11.25,0.02,0,2.1450461128032154e+49
1012,11.25,0.02,1,1.4923251174819226e+47
1012,59.75,0.02,0,6.820914176042149e+47
1012,59.75,0.02,1,1.0789634562461922e+47
1012,93.5,0.02,0,6.706127856386579e+46
1012,93.5,0.02,1,8.25306507773725e+46
1012,77.0,0.02,0,4.4950679316302447e+46
1012,77.0,0.02,1,1.047407909326778e+47
1012,16.5,0.02,0,1.580759831853966e+49
1012,16.5,0.02,1,1.402091784630952e+47
1012,13.25,0.02,0,2.0019717438955198e+49
1012,13.25,0.02,1,1.4094527221026516e+47
1012,26.25,0.02,0,1.168186282872746e+48
1012,26.25,0.02,1,1.3821041850063582e+47
1012,31.0,0.02,0,1.1696045837432616e+48
1012,31.0,0.02,1,1.3613593932729384e+47
1012,80.25,0.02,0,6.69785226641912e+46
1012,80.25,0.02,1,8.261063105040507e+46
1012,84.25,0.02,0,6.704677114885463e+46
1012,84.25,0.02,1,8.25438961851704e+46
1012,86.25,0.02,0,6.698148997620554e+46
1012,86.25,0.02,1,8.260775436463794e+46
1012,42.0,0.02,0,1.1934115684094432e+48
1012,42.0,0.02,1,1.103182179249503e+47
1012,37.5,0.02,0,1.1686763368623491e+48
